classifier,vectorizer,ngram type,ngram range,max_df,min_df,max_f,num_f,scaler,f1-score,type
RandomForest,Count,Char,Bigrams,1.0,0.2,1000,220,StandardScaler,0.14242209366245343,Split
kNN,Count,Char,Bigrams,1.0,0.2,1000,220,L1,0.17306277169625994,Split
Logit,Count,Char,Bigrams,1.0,0.2,1000,220,L1,0.02598083925478135,Split
SVM,Count,Char,Bigrams,1.0,0.2,1000,220,L1,0.16234213219268973,Split
RandomForest,Count,Char,Bigrams,1.0,0.2,1000,220,L1,0.1352876790797001,Split
kNN,Count,Char,Bigrams,1.0,0.2,1000,220,L2,0.19300956932647026,Split
Logit,Count,Char,Bigrams,1.0,0.2,1000,220,L2,0.11844882520423045,Split
SVM,Count,Char,Bigrams,1.0,0.2,1000,220,L2,0.1612753698893303,Split
RandomForest,Count,Char,Bigrams,1.0,0.2,1000,220,L2,0.13741607107453538,Split
kNN,Count,Char,Trigrams,0.8,0.0,None,3408,StandardScaler,0.03558391817913826,Split
RandomForest,Count,Char,Trigrams,0.8,0.0,None,3408,StandardScaler,0.1496851878136624,Split
Logit,Count,Char,Trigrams,0.8,0.0,None,3408,StandardScaler,0.33914692179385714,Split
SVM,Count,Char,Trigrams,0.8,0.0,None,3408,StandardScaler,0.10368232974330871,Split
kNN,Count,Char,Trigrams,0.8,0.0,None,3408,L1,0.2455171648553812,Split
Logit,Count,Char,Trigrams,0.8,0.0,None,3408,L1,0.024674231979354477,Split
RandomForest,Count,Char,Trigrams,0.8,0.0,None,3408,L1,0.1548352675856071,Split
SVM,Count,Char,Trigrams,0.8,0.0,None,3408,L1,0.15984065787879875,Split
kNN,Count,Char,Trigrams,0.8,0.0,None,3408,L2,0.25619162750192853,Split
RandomForest,Count,Char,Trigrams,0.8,0.0,None,3408,L2,0.14493466606744257,Split
Logit,Count,Char,Trigrams,0.8,0.0,None,3408,L2,0.1485684342002457,Split
SVM,Count,Char,Trigrams,0.8,0.0,None,3408,L2,0.1508876079902375,Split
kNN,Count,Char,Trigrams,0.8,0.0,1000,1000,StandardScaler,0.05528547326780594,Split
Logit,Count,Char,Trigrams,0.8,0.0,1000,1000,StandardScaler,0.3299407532659114,Split
RandomForest,Count,Char,Trigrams,0.8,0.0,1000,1000,StandardScaler,0.13633845185426974,Split
SVM,Count,Char,Trigrams,0.8,0.0,1000,1000,StandardScaler,0.16166221067464934,Split
kNN,Count,Char,Trigrams,0.8,0.0,1000,1000,L1,0.22347054425391666,Split
Logit,Count,Char,Trigrams,0.8,0.0,1000,1000,L1,0.024674231979354477,Split
SVM,Count,Char,Trigrams,0.8,0.0,1000,1000,L1,0.16256817360362055,Split
RandomForest,Count,Char,Trigrams,0.8,0.0,1000,1000,L1,0.13287565665101086,Split
kNN,Count,Char,Trigrams,0.8,0.0,1000,1000,L2,0.2368798704156928,Split
Logit,Count,Char,Trigrams,0.8,0.0,1000,1000,L2,0.1481701396806909,Split
SVM,Count,Char,Trigrams,0.8,0.0,1000,1000,L2,0.15440819606900458,Split
RandomForest,Count,Char,Trigrams,0.8,0.0,1000,1000,L2,0.1439739641307637,Split
kNN,Count,Char,Trigrams,0.8,0.1,None,1037,StandardScaler,0.05421324604541894,Split
Logit,Count,Char,Trigrams,0.8,0.1,None,1037,StandardScaler,0.3467285928319907,Split
RandomForest,Count,Char,Trigrams,0.8,0.1,None,1037,StandardScaler,0.13228355554606053,Split
SVM,Count,Char,Trigrams,0.8,0.1,None,1037,StandardScaler,0.16110327216554524,Split
kNN,Count,Char,Trigrams,0.8,0.1,None,1037,L1,0.21966207697421988,Split
Logit,Count,Char,Trigrams,0.8,0.1,None,1037,L1,0.024674231979354477,Split
SVM,Count,Char,Trigrams,0.8,0.1,None,1037,L1,0.16141418887490253,Split
RandomForest,Count,Char,Trigrams,0.8,0.1,None,1037,L1,0.1393015407585044,Split
kNN,Count,Char,Trigrams,0.8,0.1,None,1037,L2,0.2356173119002124,Split
Logit,Count,Char,Trigrams,0.8,0.1,None,1037,L2,0.1485862364917684,Split
SVM,Count,Char,Trigrams,0.8,0.1,None,1037,L2,0.15316712762904508,Split
RandomForest,Count,Char,Trigrams,0.8,0.1,None,1037,L2,0.1398542884539766,Split
kNN,Count,Char,Trigrams,0.8,0.1,1000,1000,StandardScaler,0.053643362487729766,Split
Logit,Count,Char,Trigrams,0.8,0.1,1000,1000,StandardScaler,0.329320340088227,Split
