classifier,vectorizer,ngram type,ngram range,max_df,min_df,max_f,num_f,scaler,f1-score,type
SVM,Count,Char,Bigrams,1.0,0.2,None,224,L2,0.16576953200974648,Split
RandomForest,Count,Char,Bigrams,1.0,0.2,None,224,L2,0.15374285854141342,Split
kNN,Count,Char,Bigrams,1.0,0.2,1000,224,StandardScaler,0.2530203116198614,Split
SVM,Count,Char,Bigrams,1.0,0.2,1000,224,StandardScaler,0.17620483045365817,Split
Logit,Count,Char,Bigrams,1.0,0.2,1000,224,StandardScaler,0.31145006090901994,Split
RandomForest,Count,Char,Bigrams,1.0,0.2,1000,224,StandardScaler,0.16279544889540817,Split
kNN,Count,Char,Bigrams,1.0,0.2,1000,224,L1,0.12078930008444981,Split
Logit,Count,Char,Bigrams,1.0,0.2,1000,224,L1,0.06619335919854757,Split
SVM,Count,Char,Bigrams,1.0,0.2,1000,224,L1,0.16506908450500601,Split
RandomForest,Count,Char,Bigrams,1.0,0.2,1000,224,L1,0.1530921002028072,Split
kNN,Count,Char,Bigrams,1.0,0.2,1000,224,L2,0.13153490244282925,Split
Logit,Count,Char,Bigrams,1.0,0.2,1000,224,L2,0.1463371780429518,Split
SVM,Count,Char,Bigrams,1.0,0.2,1000,224,L2,0.16576953200974648,Split
RandomForest,Count,Char,Bigrams,1.0,0.2,1000,224,L2,0.16061176430441715,Split
kNN,Count,Char,Trigrams,0.8,0.0,None,3264,StandardScaler,0.06376494058001943,Split
RandomForest,Count,Char,Trigrams,0.8,0.0,None,3264,StandardScaler,0.17188135843316132,Split
Logit,Count,Char,Trigrams,0.8,0.0,None,3264,StandardScaler,0.3485043490279465,Split
SVM,Count,Char,Trigrams,0.8,0.0,None,3264,StandardScaler,0.15354689709123678,Split
kNN,Count,Char,Trigrams,0.8,0.0,None,3264,L1,0.05312527070754421,Split
Logit,Count,Char,Trigrams,0.8,0.0,None,3264,L1,0.06619335919854757,Split
RandomForest,Count,Char,Trigrams,0.8,0.0,None,3264,L1,0.15787690356065928,Split
SVM,Count,Char,Trigrams,0.8,0.0,None,3264,L1,0.1609294356111563,Split
kNN,Count,Char,Trigrams,0.8,0.0,None,3264,L2,0.11600718727110731,Split
Logit,Count,Char,Trigrams,0.8,0.0,None,3264,L2,0.17256482745322185,Split
RandomForest,Count,Char,Trigrams,0.8,0.0,None,3264,L2,0.17850148091839005,Split
SVM,Count,Char,Trigrams,0.8,0.0,None,3264,L2,0.16339708371887457,Split
kNN,Count,Char,Trigrams,0.8,0.0,1000,1000,StandardScaler,0.08389835205181878,Split
SVM,Count,Char,Trigrams,0.8,0.0,1000,1000,StandardScaler,0.16292924016758428,Split
Logit,Count,Char,Trigrams,0.8,0.0,1000,1000,StandardScaler,0.35959312718136144,Split
RandomForest,Count,Char,Trigrams,0.8,0.0,1000,1000,StandardScaler,0.16568861228694515,Split
kNN,Count,Char,Trigrams,0.8,0.0,1000,1000,L1,0.054235692751022274,Split
Logit,Count,Char,Trigrams,0.8,0.0,1000,1000,L1,0.06619335919854757,Split
SVM,Count,Char,Trigrams,0.8,0.0,1000,1000,L1,0.16863465610129647,Split
RandomForest,Count,Char,Trigrams,0.8,0.0,1000,1000,L1,0.17035637446184795,Split
kNN,Count,Char,Trigrams,0.8,0.0,1000,1000,L2,0.11424211626920348,Split
Logit,Count,Char,Trigrams,0.8,0.0,1000,1000,L2,0.17705962351311197,Split
SVM,Count,Char,Trigrams,0.8,0.0,1000,1000,L2,0.16238326448258913,Split
RandomForest,Count,Char,Trigrams,0.8,0.0,1000,1000,L2,0.17744037704187765,Split
